VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 55,Ed Sheeran</b><br/>Perfect</a>,W 90 | P 1,68,09.06.2019
VW 86,Sech feat. Darell</b><br/>Otro trago</a>,W 2 | P 69,69,09.06.2019
VW 63,P!nk</b><br/>Walk Me Home</a>,W 15 | P 8,70,09.06.2019
VW 96,Lauren Daigle</b><br/>You Say</a>,W 5 | P 71,71,09.06.2019
VW 78,Loud Luxury feat. Brando</b><br/>Body</a>,W 50 | P 15,72,09.06.2019
VW 52,Dermot Kennedy</b><br/>Power Over Me</a>,W 18 | P 29,73,09.06.2019
VW 61,Maluma</b><br/>HP</a>,W 14 | P 48,74,09.06.2019
VW 83,Rammstein</b><br/>Radio</a>,W 4 | P 17,75,09.06.2019
VW 65,Billie Eilish</b><br/>When The Party's Over</a>,W 33 | P 23,76,09.06.2019
VW 71,Angèle</b><br/>Balance ton quoi</a>,W 8 | P 33,77,09.06.2019
VW 90,Adel Tawil feat. Peachy</b><br/>Tu m'appelles</a>,W 4 | P 78,78,09.06.2019
VW 69,Lauv &amp; Troye Sivan</b><br/>I'm So Tired...</a>,W 19 | P 40,79,09.06.2019
VW 79,Dhurata feat. Soolking</b><br/>Zemër</a>,W 7 | P 13,80,09.06.2019
VW 72,Olexesh</b><br/>Barrio</a>,W 3 | P 52,81,09.06.2019
VW 84,Mark Ronson feat. Miley Cyrus</b><br/>Nothing Breaks Like A Heart</a>,W 27 | P 10,82,09.06.2019
neu,Mark Ronson feat. Camila Cabello</b><br/>Find U Again</a>,W 1 | P 83,83,09.06.2019
re,Sean Paul &amp; J Balvin</b><br/>Contra la pared</a>,W 10 | P 57,84,09.06.2019
neu,Jax Jones &amp; Martin Solveig present Europa feat. Madison Beer</b><br/>All Day And Night</a>,W 1 | P 85,85,09.06.2019
VW 87,Marshmello feat. Chvrches</b><br/>Here With Me</a>,W 13 | P 62,86,09.06.2019
VW 80,Lo &amp; Leduc</b><br/>079</a>,W 70 | P 1,87,09.06.2019
VW 74,Billie Eilish</b><br/>Bury A Friend</a>,W 18 | P 10,88,09.06.2019
VW 98,Post Malone &amp; Swae Lee</b><br/>Sunflower</a>,W 33 | P 22,89,09.06.2019
VW 56,Samra feat. Capital Bra| Brudi30 &amp; Kalazh44</b><br/>Ghetto</a>,W 5 | P 15,90,09.06.2019
VW 73,Tom Walker</b><br/>Just You And I</a>,W 13 | P 57,91,09.06.2019
VW 77,PNL</b><br/>Au DD</a>,W 11 | P 2,92,09.06.2019
VW 82,Queen</b><br/>Bohemian Rhapsody</a>,W 56 | P 4,93,09.06.2019
VW 99,Sam Smith &amp; Normani</b><br/>Dancing With A Stranger</a>,W 21 | P 17,94,09.06.2019
neu,Ellie Goulding</b><br/>Sixteen</a>,W 1 | P 95,95,09.06.2019
VW 70,Takagi &amp; Ketra| Omi &amp; Giusy Ferreri</b><br/>Jambo</a>,W 2 | P 70,96,09.06.2019
neu,Cardi B</b><br/>Press</a>,W 1 | P 97,97,09.06.2019
VW 89,David Guetta| Bebe Rexha &amp; J Balvin</b><br/>Say My Name</a>,W 28 | P 14,98,09.06.2019
VW 81,Marshmello &amp; Bastille</b><br/>Happier</a>,W 42 | P 10,99,09.06.2019
neu,Vegedream feat. Ninho</b><br/>Elle est bonne sa mère</a>,W 1 | P 100,100,09.06.2019
VW 2,Lil Nas X</b><br/>Old Town Road</a>,W 12 | P 1,1,16.06.2019
VW 1,Luca Hänni</b><br/>She Got Me</a>,W 14 | P 1,2,16.06.2019
VW 3,Ed Sheeran &amp; Justin Bieber</b><br/>I Don't Care</a>,W 5 | P 1,3,16.06.2019
VW 5,Billie Eilish</b><br/>Bad Guy</a>,W 11 | P 2,4,16.06.2019
VW 7,Lewis Capaldi</b><br/>Someone You Loved</a>,W 21 | P 3,5,16.06.2019
neu,Farid Bang feat. French Montana &amp; Khaled</b><br/>Maghreb Gang</a>,W 1 | P 6,6,16.06.2019
VW 10,Avicii feat. Aloe Blacc</b><br/>SOS</a>,W 10 | P 3,7,16.06.2019
VW 6,Daddy Yankee feat. Snow</b><br/>Con calma</a>,W 20 | P 2,8,16.06.2019
VW 11,Lady Gaga &amp; Bradley Cooper</b><br/>Shallow</a>,W 37 | P 1,9,16.06.2019
VW 8,Pedro Capó</b><br/>Calma</a>,W 24 | P 2,10,16.06.2019
neu,Avicii</b><br/>Heaven</a>,W 1 | P 11,11,16.06.2019
neu,Nekfeu feat. Damso</b><br/>Tricheur</a>,W 1 | P 12,12,16.06.2019
neu,Ufo361</b><br/>Irina Shayk</a>,W 1 | P 13,13,16.06.2019
VW 9,Samra &amp; Capital Bra</b><br/>Wieder Lila</a>,W 4 | P 2,14,16.06.2019
VW 14,Lady Gaga</b><br/>Always Remember Us This Way</a>,W 36 | P 7,15,16.06.2019
VW 4,Luciano [DE]</b><br/>La haine</a>,W 2 | P 4,16,16.06.2019
neu,Loredana</b><br/>Labyrinth</a>,W 1 | P 17,17,16.06.2019
VW 16,Loco Escrito</b><br/>Punto</a>,W 7 | P 2,18,16.06.2019
VW 24,Meduza feat. Goodboys</b><br/>Piece Of Your Heart</a>,W 5 | P 19,19,16.06.2019
VW 15,Mabel [UK]</b><br/>Don't Call Me Up</a>,W 17 | P 9,20,16.06.2019
VW 12,Mahmood</b><br/>Soldi</a>,W 16 | P 5,21,16.06.2019
VW 18,Jonas Brothers</b><br/>Sucker</a>,W 15 | P 12,22,16.06.2019
neu,Tyga feat. J Balvin &amp; Chris Brown</b><br/>Haute</a>,W 1 | P 23,23,16.06.2019
VW 17,Ozuna</b><br/>Baila baila baila</a>,W 22 | P 14,24,16.06.2019
neu,Fero47</b><br/>NENENE</a>,W 1 | P 25,25,16.06.2019
VW 26,Alec Benjamin</b><br/>Let Me Down Slowly</a>,W 22 | P 20,26,16.06.2019
VW 27,Ava Max</b><br/>So Am I</a>,W 14 | P 18,27,16.06.2019
VW 22,Martin Garrix feat. Macklemore &amp; Patrick Stump of Fall Out Boy</b><br/>Summer Days</a>,W 7 | P 22,28,16.06.2019
neu,Nekfeu feat. Vanessa Paradis</b><br/>Dans l'univers</a>,W 1 | P 29,29,16.06.2019
VW 32,Rammstein</b><br/>Deutschland</a>,W 11 | P 1,30,16.06.2019
VW 28,Ava Max</b><br/>Sweet But Psycho</a>,W 33 | P 1,31,16.06.2019
neu,Nekfeu feat. Nemir</b><br/>Elle pleut</a>,W 1 | P 32,32,16.06.2019
VW 44,Dennis Lloyd</b><br/>Never Go Back</a>,W 13 | P 33,33,16.06.2019
VW 25,Shawn Mendes</b><br/>If I Can't Have You</a>,W 6 | P 8,34,16.06.2019
VW 31,OneRepublic</b><br/>Rescue Me</a>,W 4 | P 28,35,16.06.2019
VW 23,Young Thug feat. J. Cole &amp; Travis Scott</b><br/>The London</a>,W 3 | P 20,36,16.06.2019
neu,KC Rebell feat. Gringo</b><br/>Badewanne</a>,W 1 | P 37,37,16.06.2019
VW 57,Sarah Connor</b><br/>Vincent</a>,W 3 | P 38,38,16.06.2019
VW 29,Imagine Dragons</b><br/>Bad Liar</a>,W 31 | P 4,39,16.06.2019
VW 36,YG feat. Tyga &amp; Jon Z</b><br/>Go Loko</a>,W 5 | P 36,40,16.06.2019
VW 43,PNL</b><br/>Mowgli II</a>,W 2 | P 41,41,16.06.2019
neu,Chris Brown feat. Drake</b><br/>No Guidance</a>,W 1 | P 42,42,16.06.2019
VW 19,Samra</b><br/>Marlboro Rot</a>,W 3 | P 7,43,16.06.2019
neu,Avicii feat. Imagine Dragons</b><br/>Heart Upon My Sleeve</a>,W 1 | P 44,44,16.06.2019
VW 35,Taylor Swift feat. Brendon Urie of Panic! At The Disco</b><br/>Me!</a>,W 7 | P 12,45,16.06.2019
VW 38,Calvin Harris &amp; Rag'n'Bone Man</b><br/>Giant</a>,W 22 | P 5,46,16.06.2019
VW 52,Patent Ochsner</b><br/>Für immer uf di</a>,W 15 | P 2,47,16.06.2019
VW 20,Dardan feat. Mozzik</b><br/>A Milly</a>,W 2 | P 20,48,16.06.2019
VW 30,Kygo and Rita Ora</b><br/>Carry On</a>,W 8 | P 28,49,16.06.2019
VW 21,Katy Perry</b><br/>Never Really Over</a>,W 2 | P 21,50,16.06.2019
VW 33,Shindy</b><br/>Nautilus</a>,W 5 | P 2,51,16.06.2019
VW 37,Juju feat. Henning May</b><br/>Vermissen</a>,W 6 | P 13,52,16.06.2019
VW 45,Panic! At The Disco</b><br/>High Hopes</a>,W 45 | P 3,53,16.06.2019
VW 54,Maître Gims &amp; Maluma</b><br/>Hola señorita</a>,W 6 | P 42,54,16.06.2019
VW 41,Dynoro &amp; Gigi D'Agostino</b><br/>In My Mind</a>,W 49 | P 1,55,16.06.2019
VW 13,Mero</b><br/>Malediven</a>,W 2 | P 13,56,16.06.2019
VW 49,Ariana Grande</b><br/>7 Rings</a>,W 21 | P 1,57,16.06.2019
VW 51,Nicky Jam x Ozuna</b><br/>Te robaré</a>,W 12 | P 28,58,16.06.2019
VW 53,Alan Walker| Sabrina Carpenter &amp; Farruko</b><br/>On My Way</a>,W 12 | P 34,59,16.06.2019
VW 60,Robin Schulz feat. Harloe</b><br/>All This Love</a>,W 3 | P 28,60,16.06.2019
VW 39,Rammstein</b><br/>Ausländer</a>,W 4 | P 38,61,16.06.2019
VW 40,Ed Sheeran feat. Chance The Rapper &amp; PnB Rock</b><br/>Cross Me</a>,W 3 | P 21,62,16.06.2019
VW 46,Capital Bra</b><br/>Cherry Lady</a>,W 12 | P 1,63,16.06.2019
VW 47,Duncan Laurence</b><br/>Arcade</a>,W 4 | P 6,64,16.06.2019
VW 68,Ed Sheeran</b><br/>Perfect</a>,W 91 | P 1,65,16.06.2019
VW 50,Maluma</b><br/>11 PM</a>,W 4 | P 50,66,16.06.2019
VW 64,Robin Schulz feat. Erika Sirola</b><br/>Speechless</a>,W 29 | P 9,67,16.06.2019
VW 34,RIN</b><br/>Vintage</a>,W 3 | P 14,68,16.06.2019
VW 78,Adel Tawil feat. Peachy</b><br/>Tu m'appelles</a>,W 5 | P 69,69,16.06.2019
VW 42,The Chainsmokers feat. Bebe Rexha</b><br/>Call You Mine</a>,W 2 | P 42,70,16.06.2019
neu,Xen</b><br/>Meh welle</a>,W 1 | P 71,71,16.06.2019
VW 77,Angèle</b><br/>Balance ton quoi</a>,W 9 | P 33,72,16.06.2019
VW 55,Capital Bra feat. Summer Cem &amp; KC Rebell</b><br/>Rolex</a>,W 9 | P 1,73,16.06.2019
VW 73,Dermot Kennedy</b><br/>Power Over Me</a>,W 19 | P 29,74,16.06.2019
VW 48,Miley Cyrus</b><br/>Mother's Daughter</a>,W 2 | P 48,75,16.06.2019
VW 96,Takagi &amp; Ketra| Omi &amp; Giusy Ferreri</b><br/>Jambo</a>,W 3 | P 70,76,16.06.2019
VW 71,Lauren Daigle</b><br/>You Say</a>,W 6 | P 71,77,16.06.2019
VW 72,Loud Luxury feat. Brando</b><br/>Body</a>,W 51 | P 15,78,16.06.2019
VW 87,Lo &amp; Leduc</b><br/>079</a>,W 71 | P 1,79,16.06.2019
re,James Arthur</b><br/>Falling Like The Stars</a>,W 3 | P 28,80,16.06.2019
VW 76,Billie Eilish</b><br/>When The Party's Over</a>,W 34 | P 23,81,16.06.2019
VW 61,Dardan</b><br/>Coco Mama</a>,W 10 | P 12,82,16.06.2019
VW 75,Rammstein</b><br/>Radio</a>,W 5 | P 17,83,16.06.2019
VW 63,Post Malone</b><br/>Wow.</a>,W 24 | P 11,84,16.06.2019
VW 69,Sech feat. Darell</b><br/>Otro trago</a>,W 3 | P 69,85,16.06.2019
VW 70,P!nk</b><br/>Walk Me Home</a>,W 16 | P 8,86,16.06.2019
VW 58,Lunay</b><br/>Soltera</a>,W 5 | P 58,87,16.06.2019
VW 67,Petit Biscuit</b><br/>Sunset Lover</a>,W 32 | P 44,88,16.06.2019
neu,BTS &amp; Charli XCX</b><br/>Dream Glow</a>,W 1 | P 89,89,16.06.2019
VW 84,Sean Paul &amp; J Balvin</b><br/>Contra la pared</a>,W 11 | P 57,90,16.06.2019
neu,Mabel [UK]</b><br/>Mad Love</a>,W 1 | P 91,91,16.06.2019
neu,Boomdabash feat. Alessandra Amoroso</b><br/>Mambo salentino</a>,W 1 | P 92,92,16.06.2019
VW 66,Tyler| The Creator</b><br/>Earfquake</a>,W 4 | P 42,93,16.06.2019
VW 88,Billie Eilish</b><br/>Bury A Friend</a>,W 19 | P 10,94,16.06.2019
VW 93,Queen</b><br/>Bohemian Rhapsody</a>,W 57 | P 4,95,16.06.2019
neu,Jonas Brothers</b><br/>Only Human</a>,W 1 | P 96,96,16.06.2019
re,Aya Nakamura</b><br/>Djadja</a>,W 40 | P 32,97,16.06.2019
VW 79,Lauv &amp; Troye Sivan</b><br/>I'm So Tired...</a>,W 20 | P 40,98,16.06.2019
neu,Aya Nakamura</b><br/>Pookie</a>,W 1 | P 99,99,16.06.2019
VW 85,Jax Jones &amp; Martin Solveig present Europa feat. Madison Beer</b><br/>All Day And Night</a>,W 2 | P 85,100,16.06.2019
VW 1,Lil Nas X</b><br/>Old Town Road</a>,W 13 | P 1,1,23.06.2019
VW 2,Luca Hänni</b><br/>She Got Me</a>,W 15 | P 1,2,23.06.2019
VW 3,Ed Sheeran &amp; Justin Bieber</b><br/>I Don't Care</a>,W 6 | P 1,3,23.06.2019
neu,Kalazh44| Capital Bra &amp; Samra feat. Nimo &amp; Luciano</b><br/>Royal Rumble</a>,W 1 | P 4,4,23.06.2019
neu,Summer Cem feat. Capital Bra</b><br/>Diamonds</a>,W 1 | P 5,5,23.06.2019
VW 4,Billie Eilish</b><br/>Bad Guy</a>,W 12 | P 2,6,23.06.2019
VW 8,Daddy Yankee feat. Snow</b><br/>Con calma</a>,W 21 | P 2,7,23.06.2019
VW 5,Lewis Capaldi</b><br/>Someone You Loved</a>,W 22 | P 3,8,23.06.2019
VW 10,Pedro Capó</b><br/>Calma</a>,W 25 | P 2,9,23.06.2019
VW 6,Farid Bang feat. French Montana &amp; Khaled</b><br/>Maghreb Gang</a>,W 2 | P 6,10,23.06.2019
VW 9,Lady Gaga &amp; Bradley Cooper</b><br/>Shallow</a>,W 38 | P 1,11,23.06.2019
VW 7,Avicii feat. Aloe Blacc</b><br/>SOS</a>,W 11 | P 3,12,23.06.2019
VW 19,Meduza feat. Goodboys</b><br/>Piece Of Your Heart</a>,W 6 | P 13,13,23.06.2019
neu,Mero</b><br/>Olabilir</a>,W 1 | P 14,14,23.06.2019
neu,DJ Snake &amp; J Balvin feat. Tyga</b><br/>Loco contigo</a>,W 1 | P 15,15,23.06.2019
VW 14,Samra &amp; Capital Bra</b><br/>Wieder Lila</a>,W 5 | P 2,16,23.06.2019
VW 15,Lady Gaga</b><br/>Always Remember Us This Way</a>,W 37 | P 7,17,23.06.2019
VW 18,Loco Escrito</b><br/>Punto</a>,W 8 | P 2,18,23.06.2019
VW 20,Mabel [UK]</b><br/>Don't Call Me Up</a>,W 18 | P 9,19,23.06.2019
VW 22,Jonas Brothers</b><br/>Sucker</a>,W 16 | P 12,20,23.06.2019
VW 16,Luciano [DE]</b><br/>La haine</a>,W 3 | P 4,21,23.06.2019
neu,Taylor Swift</b><br/>You Need To Calm Down</a>,W 1 | P 22,22,23.06.2019
VW 28,Martin Garrix feat. Macklemore &amp; Patrick Stump of Fall Out Boy</b><br/>Summer Days</a>,W 8 | P 22,23,23.06.2019
VW 24,Ozuna</b><br/>Baila baila baila</a>,W 23 | P 14,24,23.06.2019
neu,Sido feat. Yonii &amp; Beka</b><br/>Melatonin</a>,W 1 | P 25,25,23.06.2019
VW 21,Mahmood</b><br/>Soldi</a>,W 17 | P 5,26,23.06.2019
VW 35,OneRepublic</b><br/>Rescue Me</a>,W 5 | P 27,27,23.06.2019
VW 26,Alec Benjamin</b><br/>Let Me Down Slowly</a>,W 23 | P 20,28,23.06.2019
VW 42,Chris Brown feat. Drake</b><br/>No Guidance</a>,W 2 | P 29,29,23.06.2019
VW 11,Avicii</b><br/>Heaven</a>,W 2 | P 11,30,23.06.2019
VW 12,Nekfeu feat. Damso</b><br/>Tricheur</a>,W 2 | P 12,31,23.06.2019
neu,Drake feat. Rick Ross</b><br/>Money In The Grave</a>,W 1 | P 32,32,23.06.2019
VW 27,Ava Max</b><br/>So Am I</a>,W 15 | P 18,33,23.06.2019
VW 31,Ava Max</b><br/>Sweet But Psycho</a>,W 34 | P 1,34,23.06.2019
VW 17,Loredana</b><br/>Labyrinth</a>,W 2 | P 17,35,23.06.2019
VW 34,Shawn Mendes</b><br/>If I Can't Have You</a>,W 7 | P 8,36,23.06.2019
VW 40,YG feat. Tyga &amp; Jon Z</b><br/>Go Loko</a>,W 6 | P 36,37,23.06.2019
VW 13,Ufo361</b><br/>Irina Shayk</a>,W 2 | P 13,38,23.06.2019
VW 33,Dennis Lloyd</b><br/>Never Go Back</a>,W 14 | P 33,39,23.06.2019
VW 36,Young Thug feat. J. Cole &amp; Travis Scott</b><br/>The London</a>,W 4 | P 20,40,23.06.2019
VW 39,Imagine Dragons</b><br/>Bad Liar</a>,W 32 | P 4,41,23.06.2019
VW 25,Fero47</b><br/>NENENE</a>,W 2 | P 25,42,23.06.2019
VW 45,Taylor Swift feat. Brendon Urie of Panic! At The Disco</b><br/>Me!</a>,W 8 | P 12,43,23.06.2019
VW 54,Maître Gims &amp; Maluma</b><br/>Hola señorita</a>,W 7 | P 42,44,23.06.2019
VW 69,Adel Tawil feat. Peachy</b><br/>Tu m'appelles</a>,W 6 | P 45,45,23.06.2019
VW 50,Katy Perry</b><br/>Never Really Over</a>,W 3 | P 21,46,23.06.2019
VW 52,Juju feat. Henning May</b><br/>Vermissen</a>,W 7 | P 13,47,23.06.2019
VW 46,Calvin Harris &amp; Rag'n'Bone Man</b><br/>Giant</a>,W 23 | P 5,48,23.06.2019
VW 49,Kygo and Rita Ora</b><br/>Carry On</a>,W 9 | P 28,49,23.06.2019
VW 60,Robin Schulz feat. Harloe</b><br/>All This Love</a>,W 4 | P 28,50,23.06.2019
VW 23,Tyga feat. J Balvin &amp; Chris Brown</b><br/>Haute</a>,W 2 | P 23,51,23.06.2019
VW 58,Nicky Jam x Ozuna</b><br/>Te robaré</a>,W 13 | P 28,52,23.06.2019
neu,Kezah feat. Freddy Gladieux &amp; Squeezie</b><br/>Mirador</a>,W 1 | P 53,53,23.06.2019
VW 55,Dynoro &amp; Gigi D'Agostino</b><br/>In My Mind</a>,W 50 | P 1,54,23.06.2019
VW 62,Ed Sheeran feat. Chance The Rapper &amp; PnB Rock</b><br/>Cross Me</a>,W 4 | P 21,55,23.06.2019
VW 85,Sech feat. Darell</b><br/>Otro trago</a>,W 4 | P 56,56,23.06.2019
VW 76,Takagi &amp; Ketra| Omi &amp; Giusy Ferreri</b><br/>Jambo</a>,W 4 | P 57,57,23.06.2019
VW 53,Panic! At The Disco</b><br/>High Hopes</a>,W 46 | P 3,58,23.06.2019
VW 72,Angèle</b><br/>Balance ton quoi</a>,W 10 | P 33,59,23.06.2019
VW 59,Alan Walker| Sabrina Carpenter &amp; Farruko</b><br/>On My Way</a>,W 13 | P 34,60,23.06.2019
VW 65,Ed Sheeran</b><br/>Perfect</a>,W 92 | P 1,61,23.06.2019
VW 47,Patent Ochsner</b><br/>Für immer uf di</a>,W 16 | P 2,62,23.06.2019
VW 74,Dermot Kennedy</b><br/>Power Over Me</a>,W 20 | P 29,63,23.06.2019
VW 30,Rammstein</b><br/>Deutschland</a>,W 12 | P 1,64,23.06.2019
VW 70,The Chainsmokers feat. Bebe Rexha</b><br/>Call You Mine</a>,W 3 | P 42,65,23.06.2019
VW 57,Ariana Grande</b><br/>7 Rings</a>,W 22 | P 1,66,23.06.2019
VW 66,Maluma</b><br/>11 PM</a>,W 5 | P 50,67,23.06.2019
VW 51,Shindy</b><br/>Nautilus</a>,W 6 | P 2,68,23.06.2019
VW 43,Samra</b><br/>Marlboro Rot</a>,W 4 | P 7,69,23.06.2019
VW 48,Dardan feat. Mozzik</b><br/>A Milly</a>,W 3 | P 20,70,23.06.2019
VW 67,Robin Schulz feat. Erika Sirola</b><br/>Speechless</a>,W 30 | P 9,71,23.06.2019
VW 63,Capital Bra</b><br/>Cherry Lady</a>,W 13 | P 1,72,23.06.2019
VW 37,KC Rebell feat. Gringo</b><br/>Badewanne</a>,W 2 | P 37,73,23.06.2019
VW 86,P!nk</b><br/>Walk Me Home</a>,W 17 | P 8,74,23.06.2019
VW 87,Lunay</b><br/>Soltera</a>,W 6 | P 58,75,23.06.2019
VW 80,James Arthur</b><br/>Falling Like The Stars</a>,W 4 | P 28,76,23.06.2019
VW 38,Sarah Connor</b><br/>Vincent</a>,W 4 | P 38,77,23.06.2019
VW 77,Lauren Daigle</b><br/>You Say</a>,W 7 | P 71,78,23.06.2019
VW 79,Lo &amp; Leduc</b><br/>079</a>,W 72 | P 1,79,23.06.2019
neu,Majoe</b><br/>Chellam</a>,W 1 | P 80,80,23.06.2019
VW 73,Capital Bra feat. Summer Cem &amp; KC Rebell</b><br/>Rolex</a>,W 10 | P 1,81,23.06.2019
VW 29,Nekfeu feat. Vanessa Paradis</b><br/>Dans l'univers</a>,W 2 | P 29,82,23.06.2019
neu,Capo</b><br/>Alexander Wang</a>,W 1 | P 83,83,23.06.2019
neu,Juju [DE]</b><br/>Hi Babe</a>,W 1 | P 84,84,23.06.2019
VW 81,Billie Eilish</b><br/>When The Party's Over</a>,W 35 | P 23,85,23.06.2019
VW 78,Loud Luxury feat. Brando</b><br/>Body</a>,W 52 | P 15,86,23.06.2019
VW 82,Dardan</b><br/>Coco Mama</a>,W 11 | P 12,87,23.06.2019
VW 32,Nekfeu feat. Nemir</b><br/>Elle pleut</a>,W 2 | P 32,88,23.06.2019
neu,Bad Bunny &amp; Tainy</b><br/>Callaita</a>,W 1 | P 89,89,23.06.2019
re,Sam Smith</b><br/>Fire On Fire</a>,W 7 | P 35,90,23.06.2019
VW 84,Post Malone</b><br/>Wow.</a>,W 25 | P 11,91,23.06.2019
neu,R3hab x A Touch Of Class</b><br/>All Around The World (La La La)</a>,W 1 | P 92,92,23.06.2019
VW 100,Jax Jones &amp; Martin Solveig present Europa feat. Madison Beer</b><br/>All Day And Night</a>,W 3 | P 85,93,23.06.2019
VW 75,Miley Cyrus</b><br/>Mother's Daughter</a>,W 3 | P 48,94,23.06.2019
VW 99,Aya Nakamura</b><br/>Pookie</a>,W 2 | P 95,95,23.06.2019
VW 56,Mero</b><br/>Malediven</a>,W 3 | P 13,96,23.06.2019
neu,Jul feat. Ninho</b><br/>Tel Me</a>,W 1 | P 97,97,23.06.2019
re,Avicii feat. Agnes| Vargas &amp; Lagola</b><br/>Tough Love</a>,W 2 | P 31,98,23.06.2019
VW 95,Queen</b><br/>Bohemian Rhapsody</a>,W 58 | P 4,99,23.06.2019
re,Tom Walker</b><br/>Just You And I</a>,W 14 | P 57,100,23.06.2019
neu,Capital Bra x Samra</b><br/>Tilidin</a>,W 1 | P 1,1,30.06.2019
neu,Shawn Mendes &amp; Camila Cabello</b><br/>Señorita</a>,W 1 | P 2,2,30.06.2019
VW 1,Lil Nas X</b><br/>Old Town Road</a>,W 14 | P 1,3,30.06.2019
VW 3,Ed Sheeran &amp; Justin Bieber</b><br/>I Don't Care</a>,W 7 | P 1,4,30.06.2019
VW 2,Luca Hänni</b><br/>She Got Me</a>,W 16 | P 1,5,30.06.2019
VW 6,Billie Eilish</b><br/>Bad Guy</a>,W 13 | P 2,6,30.06.2019
VW 7,Daddy Yankee feat. Snow</b><br/>Con calma</a>,W 22 | P 2,7,30.06.2019
neu,Lo &amp; Leduc</b><br/>Online</a>,W 1 | P 8,8,30.06.2019
VW 9,Pedro Capó</b><br/>Calma</a>,W 26 | P 2,9,30.06.2019
VW 8,Lewis Capaldi</b><br/>Someone You Loved</a>,W 23 | P 3,10,30.06.2019
VW 13,Meduza feat. Goodboys</b><br/>Piece Of Your Heart</a>,W 7 | P 11,11,30.06.2019
VW 15,DJ Snake &amp; J Balvin feat. Tyga</b><br/>Loco contigo</a>,W 2 | P 12,12,30.06.2019
VW 11,Lady Gaga &amp; Bradley Cooper</b><br/>Shallow</a>,W 39 | P 1,13,30.06.2019
neu,Dardan feat. Eno</b><br/>Wer macht Para 2</a>,W 1 | P 14,14,30.06.2019
VW 5,Summer Cem feat. Capital Bra</b><br/>Diamonds</a>,W 2 | P 5,15,30.06.2019
neu,Shindy</b><br/>EFH</a>,W 1 | P 16,16,30.06.2019
VW 12,Avicii feat. Aloe Blacc</b><br/>SOS</a>,W 12 | P 3,17,30.06.2019
VW 16,Samra &amp; Capital Bra</b><br/>Wieder Lila</a>,W 6 | P 2,18,30.06.2019
VW 18,Loco Escrito</b><br/>Punto</a>,W 9 | P 2,19,30.06.2019
VW 4,Kalazh44| Capital Bra &amp; Samra feat. Nimo &amp; Luciano</b><br/>Royal Rumble</a>,W 2 | P 4,20,30.06.2019
VW 24,Ozuna</b><br/>Baila baila baila</a>,W 24 | P 14,21,30.06.2019
VW 26,Mahmood</b><br/>Soldi</a>,W 18 | P 5,22,30.06.2019
VW 19,Mabel [UK]</b><br/>Don't Call Me Up</a>,W 19 | P 9,23,30.06.2019
VW 17,Lady Gaga</b><br/>Always Remember Us This Way</a>,W 38 | P 7,24,30.06.2019
VW 23,Martin Garrix feat. Macklemore &amp; Patrick Stump of Fall Out Boy</b><br/>Summer Days</a>,W 9 | P 22,25,30.06.2019
VW 20,Jonas Brothers</b><br/>Sucker</a>,W 17 | P 12,26,30.06.2019
VW 10,Farid Bang feat. French Montana &amp; Khaled</b><br/>Maghreb Gang</a>,W 3 | P 6,27,30.06.2019
VW 27,OneRepublic</b><br/>Rescue Me</a>,W 6 | P 27,28,30.06.2019
VW 44,Maître Gims &amp; Maluma</b><br/>Hola señorita</a>,W 8 | P 29,29,30.06.2019
VW 32,Drake feat. Rick Ross</b><br/>Money In The Grave</a>,W 2 | P 30,30,30.06.2019
VW 28,Alec Benjamin</b><br/>Let Me Down Slowly</a>,W 24 | P 20,31,30.06.2019
VW 22,Taylor Swift</b><br/>You Need To Calm Down</a>,W 2 | P 22,32,30.06.2019
VW 36,Shawn Mendes</b><br/>If I Can't Have You</a>,W 8 | P 8,33,30.06.2019
VW 34,Ava Max</b><br/>Sweet But Psycho</a>,W 35 | P 1,34,30.06.2019
VW 46,Katy Perry</b><br/>Never Really Over</a>,W 4 | P 21,35,30.06.2019
VW 45,Adel Tawil feat. Peachy</b><br/>Tu m'appelles</a>,W 7 | P 36,36,30.06.2019
VW 30,Avicii</b><br/>Heaven</a>,W 3 | P 11,37,30.06.2019
VW 21,Luciano [DE]</b><br/>La haine</a>,W 4 | P 4,38,30.06.2019
VW 50,Robin Schulz feat. Harloe</b><br/>All This Love</a>,W 5 | P 28,39,30.06.2019
VW 33,Ava Max</b><br/>So Am I</a>,W 16 | P 18,40,30.06.2019
VW 37,YG feat. Tyga &amp; Jon Z</b><br/>Go Loko</a>,W 7 | P 36,41,30.06.2019
neu,Sero El Mero</b><br/>Dein Fahrer</a>,W 1 | P 42,42,30.06.2019
neu,Lil Nas X</b><br/>Panini</a>,W 1 | P 43,43,30.06.2019
VW 40,Young Thug feat. J. Cole &amp; Travis Scott</b><br/>The London</a>,W 5 | P 20,44,30.06.2019
VW 41,Imagine Dragons</b><br/>Bad Liar</a>,W 33 | P 4,45,30.06.2019
VW 39,Dennis Lloyd</b><br/>Never Go Back</a>,W 15 | P 33,46,30.06.2019
VW 14,Mero</b><br/>Olabilir</a>,W 2 | P 14,47,30.06.2019
neu,Milonair feat. Bonez MC</b><br/>Autopilot</a>,W 1 | P 48,48,30.06.2019
neu,Yung Hurn</b><br/>Cabrio</a>,W 1 | P 49,49,30.06.2019
